Case Number,Block,Description,Location Description,Arrest,Year,Latitude,Longitude
HV597830,006XX N HAMLIN AVE,GAME/DICE,SIDEWALK,True,2012,41.892201869000004,-87.721095382
HN530713,071XX S CHAMPLAIN AVE,GAME/DICE,SIDEWALK,True,2007,41.765059373,-87.609205947
HL156956,056XX S NORMAL BLVD,GAME/DICE,SIDEWALK,True,2005,41.79192425,-87.637796335
HL360475,030XX W MADISON ST,GAME/DICE,PARKING LOT/GARAGE(NON.RESID.),True,2005,41.881007229,-87.703179364
HK745262,066XX S SEELEY AVE,GAME/DICE,ALLEY,True,2004,41.773144493000004,-87.674956028
HJ609987,060XX S RHODES AVE,GAME/DICE,STREET,True,2003,41.784937823,-87.61206962799999
G105401,020XX W HOWARD ST,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2001,42.019352942,-87.68232918700001
G734293,038XX N KEDZIE AV,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2001,41.951050345,-87.708085064
HR493254,006XX N RIDGEWAY AVE,GAME/DICE,OTHER,True,2009,41.892338095,-87.719882059
HJ240653,069XX N GLENWOOD AVE,GAME/DICE,SIDEWALK,True,2003,42.007320334,-87.665717974
HH817517,023XX S CHRISTIANA AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2002,41.849045571,-87.708829783
HY369382,097XX S PARNELL AVE,GAME/DICE,PARK PROPERTY,True,2015,41.717082444,-87.637025239
HP148869,005XX N WALLER AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2008,41.890396818,-87.76778144299999
HV240294,006XX N PARKSIDE AVE,GAME/DICE,SIDEWALK,True,2012,41.89159546,-87.766547841
HN726929,079XX S LAFLIN ST,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2007,41.750154295,-87.661008708
HX275903,057XX S RACINE AVE,GAME/DICE,PARK PROPERTY,True,2014,41.78979186,-87.654760601
G341972,080XX S SPRINGFIELD AV,GAME/DICE,PARK PROPERTY,True,2001,41.746971863,-87.719530923
HJ478913,020XX N LAWNDALE AVE,GAME/DICE,SIDEWALK,True,2003,41.917482773,-87.719226115
HN476623,012XX S TROY ST,GAME/DICE,ALLEY,True,2007,41.865421172,-87.70441546100001
HP621432,0000X S MASON AVE,GAME/DICE,SIDEWALK,True,2008,41.879783007,-87.773012281
HS420886,050XX W MADISON ST,GAME/DICE,STREET,True,2010,41.880427065999996,-87.750783005
HP367066,006XX N RIDGEWAY AVE,GAME/DICE,SIDEWALK,True,2008,41.892527477,-87.719887592
HJ224216,007XX W 26TH ST,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2003,41.84534738,-87.644690326
HV481177,028XX W JACKSON BLVD,GAME/DICE,SIDEWALK,True,2012,41.877415829,-87.697849944
HJ569024,027XX W OGDEN AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2003,41.862011728,-87.69378445
HV410400,039XX W ARTHINGTON ST,GAME/DICE,SIDEWALK,True,2012,41.869828221999995,-87.72371375899999
HJ503702,018XX W IRVING PARK RD,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2003,41.954203354,-87.675173031
HS251421,007XX N RIDGEWAY AVE,GAME/DICE,SIDEWALK,True,2010,41.89432798,-87.71994014799999
HK465171,011XX S FRANCISCO AVE,GAME/DICE,SIDEWALK,True,2004,41.867849567,-87.698381591
HS388903,016XX N MONITOR AVE,GAME/DICE,SIDEWALK,True,2010,41.909816737,-87.771474896
G510697,076XX N GREENVIEW AV,GAME/DICE,STREET,True,2001,42.020303144,-87.668095723
HX346761,055XX N KEDZIE AVE,GAME/CARDS,RESTAURANT,True,2014,41.982118858,-87.70883676700001
HJ501516,002XX W CERMAK RD,GAME/CARDS,OTHER,True,2003,41.852839331,-87.632911994
G598107,031XX W POLK ST,GAME/DICE,STREET,True,2001,41.871075578,-87.704642748
HL712363,059XX S MORGAN ST,GAME/DICE,ALLEY,True,2005,41.786483123000004,-87.649816059
HZ193626,048XX W FULTON ST,GAME/DICE,SIDEWALK,True,2016,41.885734972,-87.74603776299999
HK233049,047XX S MICHIGAN AVE,ILLEGAL ILL LOTTERY,STREET,True,2004,41.808833439000004,-87.622824022
HK208805,029XX N PULASKI RD,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2004,41.934884403000005,-87.72706386899999
HH140108,042XX S KEDZIE AV,OTHER,RESTAURANT,True,2002,41.816836158,-87.704318755
HL347405,068XX N ASHLAND BLVD,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2005,42.005819189,-87.66996487799999
HM491211,033XX W MAYPOLE AVE,GAME/DICE,SIDEWALK,True,2006,41.883582271,-87.70938227100001
HK249421,008XX S KOLMAR AVE,GAME/DICE,SIDEWALK,True,2004,41.870067151,-87.73892994399999
HJ726552,117XX S MICHIGAN AVE,GAME/DICE,SIDEWALK,True,2003,41.680380548,-87.620585441
HR535044,003XX E 55TH PL,GAME/DICE,SIDEWALK,True,2009,41.793880485,-87.61806052799999
HJ432710,076XX S ABERDEEN ST,GAME/DICE,ALLEY,True,2003,41.755520661999995,-87.651442085
HN493416,055XX W JACKSON BLVD,GAME/DICE,SIDEWALK,True,2007,41.876556686,-87.763163065
HP213279,049XX W FULLERTON AVE,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2008,41.924188760999996,-87.750105812
HP673212,006XX N LEAMINGTON AVE,GAME/DICE,SIDEWALK,True,2008,41.891981518,-87.75427000399999
HY366692,026XX W LAWRENCE AVE,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2015,41.968565569,-87.69443330899999
HS431528,057XX S ADA ST,GAME/DICE,SIDEWALK,True,2010,41.789832539,-87.658405104
HM218283,021XX E 97TH ST,GAME/DICE,SIDEWALK,True,2006,41.718856199,-87.572257189
HT384033,059XX S SANGAMON ST,GAME/DICE,SIDEWALK,True,2011,41.786053236,-87.64859594100001
HR559611,012XX W 72ND ST,GAME/DICE,SIDEWALK,True,2009,41.763210908000005,-87.65573717299999
HT443393,012XX N SPRINGFIELD AVE,GAME/DICE,SIDEWALK,True,2011,41.903841413,-87.72390459200001
HJ516794,069XX S EAST END AVE,GAME/DICE,SIDEWALK,True,2003,41.768737721,-87.58284833799999
HR343486,049XX W HUBBARD ST,GAME/DICE,SIDEWALK,True,2009,41.888658557,-87.748916002
HL471653,008XX E 80TH ST,GAME/DICE,SIDEWALK,True,2005,41.749466462,-87.60446328100001
HR500950,069XX S DORCHESTER AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2009,41.769021637,-87.591067285
HJ687383,080XX S COLFAX AVE,GAME/DICE,SIDEWALK,True,2003,41.749566316,-87.561347741
HM675658,076XX S STEWART AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2006,41.755314051,-87.634413175
HZ283878,013XX W 64TH ST,GAME/DICE,PARK PROPERTY,True,2016,41.777751013,-87.657274275
HT301665,003XX N LATROBE AVE,GAME/DICE,SIDEWALK,True,2011,41.886350619,-87.756509639
HV298582,0000X E 102ND PL,GAME/DICE,SIDEWALK,True,2012,41.708092262,-87.62227171100001
HM310491,050XX W AUGUSTA BLVD,GAME/DICE,SIDEWALK,True,2006,41.898631249,-87.751098767
HK461466,054XX N KEDZIE AVE,GAME/CARDS,GAS STATION,True,2004,41.97992047,-87.70878469200001
HK542563,090XX S BURLEY AVE,GAME/DICE,ALLEY,True,2004,41.731158264,-87.545686555
HL405632,047XX S VINCENNES AVE,GAME/DICE,SIDEWALK,True,2005,41.808747436,-87.61385669200001
HV228412,007XX N RIDGEWAY AVE,GAME/DICE,SIDEWALK,True,2012,41.894308771999995,-87.71994033200001
HV412209,014XX E 69TH PL,GAME/DICE,SIDEWALK,True,2012,41.76874464,-87.59024569
HP319019,037XX W OHIO ST,GAME/DICE,SIDEWALK,True,2008,41.891751638,-87.719520394
HR423944,012XX N MASON AVE,OTHER,SIDEWALK,True,2009,41.902563141,-87.774168637
HS249764,033XX W MADISON ST,GAME/DICE,PARK PROPERTY,True,2010,41.880932046999995,-87.70951454700001
G665981,029XX W LEXINGTON ST,GAME/DICE,STREET,True,2001,41.872038423,-87.70007681700001
HT443470,061XX S MAY ST,GAME/DICE,SIDEWALK,True,2011,41.782398701999995,-87.653360955
HP667916,050XX W GLADYS AVE,GAME/DICE,SIDEWALK,True,2008,41.875800315,-87.751335411
HN322491,018XX S TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2007,41.856474950999996,-87.71148120000001
HY413287,012XX S AVERS AVE,GAME/CARDS,SIDEWALK,True,2015,41.865521655,-87.72149317600001
HV496269,042XX S MICHIGAN AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2012,41.817635766,-87.62305689899999
HL653336,034XX W MONROE ST,GAME/DICE,SIDEWALK,True,2005,41.879580691,-87.71182640200001
HZ192542,015XX S KOMENSKY AVE,GAME/DICE,SIDEWALK,True,2016,41.860129545,-87.726214031
HV376074,012XX W 13TH ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2012,41.865220983,-87.65757607200001
HM647904,050XX N BROADWAY,OTHER,STREET,True,2006,41.972900877,-87.65977445200001
HP511903,054XX W CRYSTAL ST,GAME/DICE,SIDEWALK,True,2008,41.903089073000004,-87.761711171
HH120847,057XX N WESTERN AV,GAME/CARDS,RESTAURANT,True,2002,41.985538376,-87.68950779299999
HJ387833,029XX W MADISON ST,GAME/DICE,SIDEWALK,True,2003,41.881046784,-87.69939666399999
HN382720,005XX W 72ND ST,GAME/DICE,PARK PROPERTY,True,2007,41.763487997,-87.63735945100001
HR530057,035XX W POLK ST,GAME/DICE,SIDEWALK,True,2009,41.870862149000004,-87.714356129
HR527784,082XX S EVANS AVE,GAME/DICE,SIDEWALK,True,2009,41.745320376,-87.60628374299999
HZ473062,003XX S LOOMIS ST,GAME/DICE,SIDEWALK,True,2016,41.877263258,-87.661873894
HK379561,012XX N LOCKWOOD AVE,GAME/DICE,SIDEWALK,True,2004,41.902866042,-87.758263836
HM471594,002XX E 29TH ST,GAME/DICE,PARK PROPERTY,True,2006,41.841998247,-87.621547099
HJ578274,102XX S PARNELL AVE,GAME/DICE,ALLEY,True,2003,41.708090633000005,-87.63679267200001
HH577570,136XX S CALHOUN AV,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2002,41.648131674,-87.561912319
HH148140,014XX S DRAKE AV,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2002,41.861947275,-87.714071339
HS422383,012XX W 81ST ST,GAME/DICE,SIDEWALK,True,2010,41.746849056,-87.654289547
HR558254,057XX W SUPERIOR ST,GAME/DICE,SIDEWALK,True,2009,41.893863846,-87.769109826
HL583930,014XX N LEAMINGTON AVE,GAME/DICE,SIDEWALK,True,2005,41.906840811,-87.754661071
HJ363869,084XX S MUSKEGON AVE,GAME/DICE,STREET,True,2003,41.742334513,-87.55516122799999
HR534168,0000X N LOREL AVE,GAME/DICE,SIDEWALK,True,2009,41.880972165,-87.75875395799999
HR423580,016XX N MEADE AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2009,41.910093919,-87.77768121700001
HR363230,073XX S EVANS AVE,GAME/DICE,"SCHOOL, PUBLIC, GROUNDS",True,2009,41.761563793,-87.606701519
HM577893,070XX S PAXTON AVE,GAME/DICE,ALLEY,True,2006,41.766521921,-87.571415504
HP725349,082XX S ASHLAND AVE,GAME/AMUSEMENT DEVICE,BAR OR TAVERN,True,2008,41.744124604,-87.66328120799999
HW365181,013XX N MAYFIELD AVE,GAME/DICE,STREET,True,2013,41.904689828,-87.773022314
HN648005,056XX W FULTON ST,GAME/DICE,SIDEWALK,True,2007,41.885680977,-87.767532915
HP440789,030XX W MADISON ST,GAME/DICE,STREET,True,2008,41.881022767,-87.701512057
HW387269,059XX S BISHOP ST,GAME/DICE,SIDEWALK,True,2013,41.786196343,-87.66074228
HN370919,049XX W HUBBARD ST,GAME/DICE,SIDEWALK,True,2007,41.888655105,-87.749316345
HM438633,009XX E 104TH ST,GAME/DICE,SIDEWALK,True,2006,41.705677781999995,-87.600944364
HT504942,065XX S PAULINA ST,GAME/DICE,SIDEWALK,True,2011,41.774863428,-87.666565119
G257847,061XX S MAY ST,GAME/DICE,STREET,True,2001,41.783110449,-87.653525762
HS424169,0000X E 113TH PL,GAME/DICE,SIDEWALK,True,2010,41.688064046,-87.622254326
JA226314,033XX W VAN BUREN ST,GAME/DICE,SIDEWALK,True,2017,41.875471531,-87.70910867200001
HP464596,118XX S UNION AVE,GAME/DICE,ABANDONED BUILDING,True,2008,41.67917378,-87.63954257399999
HR391734,0000X W 114TH PL,GAME/DICE,SIDEWALK,True,2009,41.686215006,-87.624134495
HN491171,115XX S WENTWORTH AVE,GAME/DICE,SIDEWALK,True,2007,41.684675262,-87.62767324
HY319186,002XX S LOTUS AVE,GAME/DICE,SIDEWALK,True,2015,41.878017787,-87.761740038
HL699161,012XX N HAMLIN AVE,GAME/DICE,SIDEWALK,True,2005,41.902829376,-87.72143467299999
HL643594,037XX S RHODES AVE,GAME/DICE,SIDEWALK,True,2005,41.827277650999996,-87.614438098
HW491856,106XX S STATE ST,GAME/DICE,SIDEWALK,True,2013,41.700477811,-87.623329654
HP223780,062XX S WESTERN AVE,GAME/DICE,ALLEY,True,2008,41.780145374,-87.683665408
HS612249,054XX W NORTH AVE,GAME/DICE,SIDEWALK,True,2010,41.909431439,-87.761246801
G238340,078XX S TRUMBULL AV,GAME/CARDS,STREET,True,2001,41.751167064,-87.70867998799999
HK361886,042XX W WASHINGTON BLVD,GAME/DICE,SIDEWALK,True,2004,41.881978249,-87.73122911899999
HH356840,075XX S OGLESBY AVE,GAME/DICE,ALLEY,True,2002,41.758074151,-87.56757543799999
HK671430,066XX S NORMAL BLVD,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2004,41.772947511,-87.63689426799999
HT147938,006XX W 61ST PL,GAME/CARDS,RESIDENCE,True,2011,41.782538435999996,-87.641373636
G481361,075XX S EAST END AV,GAME/DICE,STREET,True,2001,41.758307050999996,-87.583329063
HN466788,039XX W ROOSEVELT RD,GAME/DICE,SIDEWALK,True,2007,41.866202226,-87.72303964700001
HM528765,036XX W DOUGLAS BLVD,GAME/DICE,SIDEWALK,True,2006,41.862832799,-87.716970311
HT335746,090XX S ESCANABA AVE,GAME/DICE,SIDEWALK,True,2011,41.731171384,-87.55405035700001
HL327220,043XX W VAN BUREN ST,GAME/DICE,SIDEWALK,True,2005,41.875163991,-87.733797258
HL528664,021XX S CHINA PL,OTHER,COMMERCIAL / BUSINESS OFFICE,True,2005,41.854015399,-87.634514225
HJ407945,012XX N MONTICELLO AVE,GAME/DICE,SIDEWALK,True,2003,41.903196858,-87.71779448
HM312831,054XX S BISHOP ST,GAME/DICE,SIDEWALK,True,2006,41.795190731999995,-87.660974633
HJ605663,055XX W POTOMAC AVE,GAME/DICE,ALLEY,True,2003,41.903963227,-87.76477439
HK651665,047XX S INDIANA AVE,GAME/DICE,SIDEWALK,True,2004,41.808653221,-87.62119742
HL578494,050XX W SUPERIOR ST,GAME/DICE,SIDEWALK,True,2005,41.894006661,-87.75153377
HW472859,062XX S MAPLEWOOD AVE,GAME/DICE,SIDEWALK,True,2013,41.78051738,-87.68734272299999
HN483135,099XX S LUELLA AVE,GAME/DICE,SIDEWALK,True,2007,41.714301339,-87.568230759
HZ329146,015XX S KOMENSKY AVE,GAME/DICE,STREET,True,2016,41.86014601,-87.726213876
HP401388,029XX W FLOURNOY ST,GAME/DICE,SIDEWALK,True,2008,41.872848316,-87.69914356
G249594,049XX W HUBBARD ST,GAME/DICE,PARK PROPERTY,True,2001,41.888755665,-87.750204197
HH591246,056XX S HERMITAGE AVE,GAME/DICE,SIDEWALK,True,2002,41.791415288,-87.668164785
HN360244,022XX S WENTWORTH AVE,GAME/CARDS,OTHER,True,2007,41.851955561,-87.631993005
HL362212,064XX S ELLIS AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2005,41.777940111999996,-87.600397711
HP295501,069XX S GREEN ST,GAME/DICE,SIDEWALK,True,2008,41.768159703,-87.645714401
HH421258,018XX N MAYFIELD AVE,GAME/DICE,SIDEWALK,True,2002,41.913270227,-87.772851751
HS259695,007XX S KARLOV AVE,GAME/DICE,SIDEWALK,True,2010,41.871342755,-87.72780788200001
HL651308,059XX S EMERALD AVE,GAME/DICE,SIDEWALK,True,2005,41.786553945,-87.64375784399999
G569612,007XX N CICERO AV,GAME/DICE,SIDEWALK,True,2001,41.893201338000004,-87.745895913
HK629735,057XX S DR MARTIN LUTHER KING JR DR,GAME/DICE,PARK PROPERTY,True,2004,41.790716455,-87.61588084799999
G359164,007XX N WALLER AV,GAME/DICE,SIDEWALK,True,2001,41.893538860999996,-87.76775739799999
G315412,112XX S ABERDEEN ST,GAME/DICE,STREET,True,2001,41.690399999,-87.64947216899999
HN242875,0000X E ROOSEVELT RD,OTHER,CTA PLATFORM,True,2007,41.867428460999996,-87.626305854
HP464036,049XX N MARINE DR,GAME/DICE,PARK PROPERTY,True,2008,41.972845315,-87.65083157
HM434551,013XX S AVERS AVE,GAME/DICE,SIDEWALK,True,2006,41.863877597,-87.721446441
HL575496,061XX S MAY ST,GAME/DICE,STREET,True,2005,41.782382216,-87.653357462
HJ706442,072XX S PERRY AVE,GAME/DICE,SIDEWALK,True,2003,41.763184615,-87.628111227
G400307,084XX S VINCENNES AV,GAME/CARDS,OTHER,True,2001,41.74029987,-87.639379659
HY465641,020XX W 68TH PL,GAME/DICE,ABANDONED BUILDING,True,2015,41.769341616,-87.67460267700001
HL456096,028XX E 76TH ST,GAME/DICE,OTHER,True,2005,41.758328049,-87.556342462
HT442245,055XX S WABASH AVE,GAME/DICE,SIDEWALK,True,2011,41.793835404,-87.624067834
HR396897,002XX N KEELER AVE,GAME/DICE,SIDEWALK,True,2009,41.883632804,-87.73066274
HL713754,031XX W LAWRENCE AVE,GAME/AMUSEMENT DEVICE,POOL ROOM,True,2005,41.968470837,-87.706620378
HM699869,109XX S RACINE AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2006,41.694727383,-87.652172474
HJ577164,060XX S WOLCOTT AVE,GAME/DICE,SIDEWALK,True,2003,41.784102423,-87.671606321
HP423648,010XX N TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2008,41.899852183,-87.712797957
HW234510,024XX W JACKSON BLVD,GAME/DICE,ABANDONED BUILDING,True,2013,41.877538906999995,-87.68744610200001
HP514740,081XX S WOODLAWN AVE,GAME/DICE,SIDEWALK,True,2008,41.74640066,-87.59536980200001
HP339682,046XX W MONROE ST,GAME/DICE,SIDEWALK,True,2008,41.879292459,-87.74141856600001
HM113667,061XX S KIMBARK AVE,GAME/DICE,RESIDENCE,True,2006,41.783334618000005,-87.594708112
HM517312,083XX S CARPENTER ST,GAME/DICE,STREET,True,2006,41.742648828,-87.649881744
HM688031,076XX S KINGSTON AVE,GAME/DICE,SIDEWALK,True,2006,41.756543074,-87.562686166
G410631,050XX S STATE ST,GAME/DICE,STREET,True,2001,41.803057542,-87.62606771899999
HR407736,050XX S DR MARTIN LUTHER KING JR DR,GAME/DICE,SIDEWALK,True,2009,41.802733403000005,-87.616278617
HH370636,064XX S COTTAGE GROVE AVE,ILLEGAL ILL LOTTERY,STREET,True,2002,41.778139616,-87.60588016700001
HX283092,017XX N LOCKWOOD AVE,GAME/DICE,SIDEWALK,True,2014,41.912207136,-87.758205713
HM591507,018XX S SAWYER AVE,GAME/DICE,STREET,True,2006,41.856168495,-87.706598434
HP540622,079XX S PHILLIPS AVE,GAME/DICE,ALLEY,True,2008,41.75126489,-87.56501044
HJ436160,075XX S COLES AVE,GAME/DICE,SIDEWALK,True,2003,41.758531938000004,-87.557274614
G433310,018XX W 60 ST,GAME/DICE,STREET,True,2001,41.784738546,-87.670558454
HT266958,048XX W MONROE ST,GAME/DICE,SIDEWALK,True,2011,41.879491967,-87.746069227
HT400760,007XX E 73RD ST,GAME/DICE,SIDEWALK,True,2011,41.762198620999996,-87.607277148
HK468155,059XX S PEORIA ST,GAME/DICE,SIDEWALK,True,2004,41.786292988,-87.647383369
G538602,054XX S LAFLIN ST,GAME/DICE,STREET,True,2001,41.794550947,-87.662319848
HS234981,061XX S MAY ST,GAME/DICE,ABANDONED BUILDING,True,2010,41.782382216,-87.653357462
HK530200,063XX S ARTESIAN AVE,GAME/DICE,SIDEWALK,True,2004,41.778785401,-87.68484868600001
HL713929,056XX W WASHINGTON BLVD,GAME/DICE,SIDEWALK,True,2005,41.882212263,-87.766979634
HH456945,057XX S CAMPBELL AVE,GAME/DICE,STREET,True,2002,41.789181031,-87.68635369299999
HL561422,0000X E 102ND PL,GAME/DICE,ALLEY,True,2005,41.708088133000004,-87.622491493
HP264958,001XX N LATROBE AVE,GAME/DICE,SIDEWALK,True,2008,41.883515275,-87.75640294
HN634478,079XX S BISHOP ST,GAME/DICE,RESIDENCE,True,2007,41.750106007,-87.659792541
HN617043,018XX S KOMENSKY AVE,GAME/DICE,SIDEWALK,True,2007,41.855823125,-87.72608591
HJ675388,017XX N MAYFIELD AVE,OTHER,SIDEWALK,True,2003,41.911993943,-87.772807808
HR160451,036XX W LEXINGTON ST,GAME/DICE,SIDEWALK,True,2009,41.871734172,-87.716275314
HS620108,077XX S INGLESIDE AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2010,41.754168689000004,-87.60163575600001
